Node, generations
Node 7862, 26725.416313864218
Node 6882, 340.5289066057786
Node 6809, 283.9062404218337
Node 3582, 148.37176596797218
Node 6656, 240.40895837905333
Node 5710, 203.40645957707727
Node 6577, 231.31197194136385
Node 6403, 216.45684689274609
Node 5917, 205.2444143908643
Node 6072, 207.0826880272673
Node 5034, 200.84177835206887
Node 3498, 144.33524649114906
Node 1168, 12.766322582984456
Node 4573, 200.0754052853894
Node 1472, 36.64878708535455
Node 1277, 21.70405966215436
Node 5646, 202.97115376298385
Node 1205, 15.240497985063907
Node 6573, 230.80730381639736
Node 6494, 222.49288715356104
Node 4250, 185.93338856651357
Node 1850, 56.750010394454776
Node 6438, 218.74569024259836
Node 5662, 203.04505764522352
Node 1154, 12.052536813600426
Node 5570, 202.5983078403039
Node 1923, 60.13554439857294
Node 1687, 48.01036898077878
Node 1221, 16.531680719510852
Node 1153, 11.975774627447269
Node 4860, 200.48513869815218
Node 6272, 211.99034694158325
Node 5251, 201.40669543029523
Node 3909, 166.22021415106235
Node 2933, 112.96117431322108
Node 1694, 48.22416901490965
Node 5960, 205.81793604077524
Node 2045, 65.72074154159901
Node 1874, 57.91420141136448
Node 1702, 48.62332385953128
Node 5130, 201.09684619429353
Node 2539, 94.01414295585437
Node 2622, 97.98518866836274
Node 1701, 48.61575227828808
Node 6520, 225.22253618942543
Node 5614, 202.8122159982515
Node 3353, 136.11353108300966
Node 4206, 182.97639341550965
Node 6475, 220.95189933039367
Node 6453, 219.36271496033115
Node 5548, 202.49640435549816
Node 1188, 13.993804214043356
Node 1183, 13.668805745566692
Node 4853, 200.47558193553786
Node 1782, 52.516270422732326
Node 4716, 200.26920907111221
Node 1432, 34.17762785080591
Node 1101, 7.127935382666895
Node 3963, 169.31876978091816
Node 1402, 32.405713376326275
Node 1114, 8.228396221714519
Node 6291, 212.4183838522477
Node 5258, 201.42189496180453
Node 4547, 200.0508753168856
Node 1306, 24.02000579007921
Node 4409, 194.67295066690284
Node 1142, 11.06651658409209
Node 5795, 204.05537224753115
Node 1924, 60.313009295256684
Node 1571, 42.51638413472738
Node 1678, 47.42348010368637
Node 1258, 20.512822633520123
Node 6871, 331.4153350333234
Node 6585, 232.42250036122718
Node 6106, 207.6937237551233
Node 5598, 202.7165094448761
Node 3435, 140.55723710370793
Node 1133, 10.510758452885801
Node 5283, 201.48896582143763
Node 2259, 78.6047777388486
Node 1732, 50.239854250259725
Node 2026, 65.06507801853867
Node 6803, 282.8200226476649
Node 6672, 242.26957903978246
Node 6596, 233.8299321112882
Node 6243, 211.05565795698212
Node 1245, 18.90198423610693
Node 6188, 209.26494378918176
Node 4201, 182.80591770214022
Node 2237, 76.94788441173766
Node 6571, 230.63955960021093
Node 5948, 205.6262782246588
Node 4552, 200.05471512716844
Node 1698, 48.349776695626524
Node 5935, 205.45472210215715
Node 2009, 64.1452614943393
Node 3609, 149.66285426115851
Node 1364, 29.416938009976985
Node 5996, 206.1625290518155
Node 3885, 165.37362008980247
Node 4473, 199.00200350579246
Node 1134, 10.513042621334247
Node 6660, 240.7829946615699
Node 5829, 204.35874457500924
Node 3955, 168.5666196390401
Node 5770, 203.87780986269019
Node 5584, 202.66107638942717
Node 3692, 154.61158154882645
Node 1556, 41.55555745779756
Node 5071, 200.9413722827107
Node 4041, 174.3709821838032
Node 6611, 235.0972060122011
Node 4044, 174.5759081744911
Node 1573, 42.577888204104354
Node 1294, 22.989148721890256
Node 1431, 34.15373653437652
Node 2262, 78.74863319762227
Node 6601, 234.36291256283536
Node 6470, 220.63879913900703
Node 2282, 80.05433983542075
Node 6059, 206.8611735919411
Node 5953, 205.72736901606197
Node 5896, 205.06838439506112
Node 5327, 201.62580472548524
Node 3661, 152.6936123445535
Node 4491, 200.00130610993313
Node 1812, 54.43039546514164
Node 3575, 148.16925743208057
Node 3505, 144.56973604302607
Node 5567, 202.5817022388168
Node 2715, 101.75582605077079
Node 5241, 201.3765572320525
Node 1522, 39.758354417543536
Node 6748, 262.9510417011369
Node 6689, 244.9990722839537
Node 4273, 187.4068357304168
Node 3938, 167.72500206041715
Node 6663, 241.20901859516152
Node 6051, 206.73491024051498
Node 2301, 81.11632227446809
Node 2128, 70.63631272984887
Node 1617, 44.743633961355215
Node 1209, 15.438026139401993
Node 6702, 247.44970079448086
Node 6534, 226.5475070868903
Node 3527, 145.88672525421157
Node 3404, 138.75123509709013
Node 6437, 218.7276551341702
Node 1921, 60.115778630824586
Node 6287, 212.35676994765285
Node 3560, 147.53964325021968
Node 1107, 7.453239924902954
Node 1066, 1.7182807857298872
Node 6696, 246.55163066912706
