Node, generations
Node 9610, 10006.829271342494
Node 9440, 2047.304671580059
Node 9206, 1148.606377813003
Node 8429, 1005.2059236990364
Node 7494, 937.0118495517469
Node 4337, 422.96215012991433
Node 8006, 1001.145176288333
Node 924, 61.12004672401328
Node 7403, 918.4515112300795
Node 3677, 344.7944953107098
Node 1695, 142.26140964813538
Node 2009, 170.7339987862814
Node 970, 67.1448412824816
Node 9196, 1142.6968592623161
Node 3199, 293.333169180768
Node 1560, 127.97950798045373
Node 2561, 225.80204223422865
Node 8945, 1037.645962553931
Node 4154, 400.0743695858585
Node 1067, 78.09345868355835
Node 3877, 370.4666450110044
Node 3739, 353.64876461685776
Node 1947, 164.86174886807808
Node 671, 21.99080965387835
Node 8846, 1022.7314194285232
Node 6871, 811.2622459683679
Node 3536, 328.919563402491
Node 625, 8.349205069329825
Node 2118, 180.5220505838195
Node 891, 56.776631337524975
Node 5476, 581.3685330655551
Node 670, 21.314927123171504
Node 4424, 434.9850217485199
Node 658, 18.971327725204457
Node 3730, 352.1704418350362
Node 8729, 1013.8003754980818
Node 6422, 731.4062388653185
Node 729, 32.4918130672464
Node 1949, 164.90150328043748
Node 839, 47.80775085573234
Node 8554, 1007.7119029598566
Node 9411, 1819.7542146461212
Node 9328, 1398.5655102595854
Node 9258, 1210.371855605802
Node 8927, 1032.9835121505594
Node 1048, 76.16395360229359
Node 7909, 1000.4687294028477
Node 623, 7.199565167363627
Node 1501, 123.06111338843642
Node 983, 68.525084160875
Node 606, 1.7672421188239533
Node 9253, 1205.067648007397
Node 9204, 1147.638615057907
Node 8765, 1015.9338743587975
Node 2860, 256.55361468223833
Node 612, 3.5696751366018913
Node 8072, 1001.5527445580736
Node 3720, 351.3369770629847
Node 3194, 292.6000159785768
Node 3191, 292.3504751264177
Node 1955, 165.49489403235816
Node 2839, 253.9461500995301
Node 1345, 106.5876157294083
Node 772, 39.98894407897112
Node 650, 17.23970607467534
Node 907, 58.678579012835485
Node 5930, 650.1016191118063
Node 2786, 248.65567922969126
Node 9169, 1121.3231485807164
Node 1785, 151.84913199562405
Node 8908, 1030.8599224060488
Node 8243, 1002.8334852491687
Node 4796, 486.73568736298415
Node 1029, 74.4275398557821
Node 758, 37.90772319022961
Node 2047, 174.82126801239792
Node 8900, 1029.5657696442631
Node 634, 11.506356556569562
Node 8804, 1019.2101043419394
Node 8535, 1007.1651169978849
Node 7391, 915.7119646030233
Node 5258, 547.100431732909
Node 5830, 636.2990571495919
Node 8269, 1003.0779290645024
Node 4712, 476.4343023119499
Node 3733, 352.9206006118694
Node 2730, 242.2157690267386
Node 1680, 140.2714085211549
Node 608, 2.8555649972584454
Node 7422, 922.4769455440651
Node 4955, 504.43635774531214
Node 8615, 1009.3766952758998
Node 1447, 116.94990238681744
Node 8080, 1001.5813233797004
Node 1071, 78.31750744412514
Node 633, 11.174652337334729
Node 9252, 1204.5392617714026
Node 7934, 1000.6735656022254
Node 5877, 642.126159569942
