Node, generations
Node 4287, 7399.20038645104
Node 3384, 187.86519527633968
Node 3067, 32.780290134922396
Node 3066, 32.55536596990165
Node 2891, 18.153427469402207
Node 2698, 10.273962648940268
Node 2660, 9.247443302408206
Node 2214, 3.0862618195913036
Node 1823, 1.1581433109397978
Node 1536, 0.33176651295322407
Node 1806, 1.089602248076099
Node 2374, 4.539948783635064
Node 3046, 30.403564315692627
Node 2966, 23.384578930889806
Node 2276, 3.6229501583874337
Node 1955, 1.654078442306503
Node 2075, 2.257027302333697
Node 2893, 18.22032762219041
Node 2189, 2.9803731848067017
Node 2088, 2.326813748979604
Node 1512, 0.26436068596621903
Node 2043, 2.100300215473452
Node 2584, 7.423054005684491
Node 2368, 4.476675332809871
Node 2094, 2.355976980706757
Node 1945, 1.6096151698343104
Node 1632, 0.5585464879123386
Node 1912, 1.5057288858043596
Node 1437, 0.07552451233379319
Node 2451, 5.397476218378165
Node 1548, 0.36758264332363944
Node 1563, 0.3939381059684143
Node 3019, 27.397388936101905
Node 2979, 24.366246042818663
Node 2793, 14.025049798288707
Node 1931, 1.5673840702633306
Node 1634, 0.5618403355792431
Node 2615, 8.117186610057503
Node 2484, 5.787429958856753
Node 2018, 1.9590966985806297
Node 2480, 5.742922402242146
Node 2576, 7.229315747702372
Node 1669, 0.6416214449993423
Node 1562, 0.39129694596453934
Node 2901, 18.805692119682483
Node 2358, 4.365840742153809
Node 2879, 17.513582378682287
Node 2765, 12.84887770745604
Node 2875, 17.223911252665
Node 2746, 11.856264730247371
Node 2574, 7.183961998079425
Node 2369, 4.50200736927222
Node 1664, 0.6335259043954705
Node 2552, 6.851032456439166
Node 2127, 2.5193767012898163
Node 1587, 0.44454356851717436
Node 1505, 0.25453609107766706
Node 1706, 0.7724647967510423
Node 2342, 4.254375502535186
Node 2193, 3.0099029571817324
Node 2779, 13.371551698528311
Node 2309, 3.9181251540389512
Node 1890, 1.4281407746860435
Node 1992, 1.8484948758847282
Node 2555, 6.878863595910063
Node 1700, 0.7508512575948076
Node 3376, 179.9438582330581
Node 3359, 160.77408120389768
Node 3287, 100.48145563211801
Node 2346, 4.275145055339888
Node 2329, 4.120223962405727
Node 2227, 3.2099875646394866
Node 1817, 1.1263467914869092
Node 3286, 99.8945944672381
Node 2767, 12.932782237224108
Node 1704, 0.7556536956241428
Node 1691, 0.7338313545899375
Node 2743, 11.743234960369492
Node 1932, 1.5708502877796757
Node 1524, 0.2929791623367921
Node 2030, 2.0136511740550276
Node 3202, 62.27844149658671
Node 2998, 25.645790022896456
Node 1864, 1.3313895958264037
Node 1591, 0.45362977570070706
Node 2914, 19.465539257043595
Node 2285, 3.660924002638265
Node 2126, 2.518624149233437
Node 2627, 8.405368214571379
Node 1649, 0.5883301261019221
Node 1797, 1.039359610203166
Node 3034, 28.87876334000325
Node 2597, 7.7764508256875855
Node 2133, 2.5359422041003197
Node 1798, 1.0505775972365192
Node 2556, 6.882137886938954
Node 1680, 0.6716748548230396
Node 1748, 0.8870756152312191
Node 2637, 8.700328345282255
Node 1833, 1.20053329161863
Node 1498, 0.24429167953750952
Node 1986, 1.7940113567225653
Node 1803, 1.06935620555478
Node 3312, 119.75179177903492
Node 3060, 31.9066287616078
Node 2145, 2.6114473918628116
Node 2657, 9.22485832799644
Node 1616, 0.5254353795112312
Node 3311, 119.27922879046523
Node 2549, 6.80819422310749
Node 3036, 29.057144410079296
Node 2312, 3.9601181000630596
Node 2165, 2.784852302549182
Node 1943, 1.603240036324732
Node 2986, 24.77532412493928
Node 2233, 3.246417569773149
Node 2104, 2.413754219467917
Node 1715, 0.7933872090205507
Node 1692, 0.7355246499093586
Node 1675, 0.6604355759426851
Node 2983, 24.71230788019286
Node 2293, 3.7553355783685083
Node 2012, 1.9441534832220284
Node 2188, 2.9751286836218127
Node 2125, 2.511950703587146
Node 1761, 0.927873062675897
Node 2938, 20.91917210725668
Node 2528, 6.521830915508242
Node 1923, 1.5432658436639692
Node 1726, 0.8223769920844903
Node 1712, 0.7903715482518854
Node 1907, 1.4795410093099244
Node 2426, 5.119899146618155
Node 2053, 2.1612835830109067
Node 1827, 1.185268100605395
Node 2763, 12.69519429177237
Node 2311, 3.928371528752371
Node 1477, 0.197819983256318
Node 3371, 175.17962915959455
Node 3242, 78.18410093238589
Node 3143, 46.623334941089034
Node 3052, 31.08738600644117
Node 2857, 16.389136097666736
Node 2397, 4.793468488283089
Node 1917, 1.5185994365547753
Node 1789, 1.0122396489728431
Node 1808, 1.0931548594897065
Node 1660, 0.6139593613575135
Node 2655, 9.171750427436953
Node 1824, 1.1647002195290839
Node 1588, 0.4461656716796726
Node 1609, 0.5154650214838138
Node 2513, 6.198652478281444
Node 1478, 0.19873390497718774
Node 3002, 26.09637723489061
Node 2920, 19.836726702607244
Node 2553, 6.8526357122906445
Node 2183, 2.934797929035602
Node 2103, 2.4116715549111754
Node 2031, 2.018822545388537
Node 2228, 3.212105725517735
Node 2672, 9.56480876241439
Node 1711, 0.7894528911078846
Node 1677, 0.6619929708026846
Node 2452, 5.404315635372089
Node 2931, 20.52292447301772
Node 2661, 9.294201079472066
Node 1993, 1.8491145560785642
Node 1815, 1.1195593612326147
Node 1490, 0.2287032129760842
Node 1841, 1.2317017162355013
Node 2224, 3.1730243402799316
Node 1828, 1.187812619072351
Node 2808, 14.561276585595241
Node 2798, 14.28170100510112
Node 2583, 7.411065601327425
Node 1416, 0.0420347471467439
Node 1573, 0.4162395655275547
Node 2707, 10.513262318274478
Node 2061, 2.196428444676776
Node 1506, 0.2550323503203898
Node 2580, 7.339509625223568
Node 1422, 0.048621659540489
Node 1928, 1.561932513256943
Node 3107, 39.15593254999198
Node 3008, 26.415176515917516
Node 2449, 5.385440787237276
Node 2037, 2.042147423083937
Node 1816, 1.124054062760124
Node 2270, 3.554002207647471
Node 2254, 3.4459649944158657
Node 1699, 0.7487356901866984
Node 2905, 18.898364436209484
Node 2110, 2.441450750596624
Node 1855, 1.3083994613484928
Node 1525, 0.3001702327101884
Node 1491, 0.22945503933148387
Node 3043, 30.08188983783734
Node 2505, 6.0989158820302665
Node 2256, 3.4552671346312827
Node 1642, 0.5781747885904494
Node 1637, 0.5654867627769437
Node 2475, 5.664736324795588
Node 1661, 0.6177960612264521
Node 2455, 5.425171235129909
Node 2034, 2.029919313457394
Node 1791, 1.014564361052645
Node 1727, 0.8259663478774542
Node 2123, 2.5019401214095187
Node 3206, 63.42521968185736
Node 2692, 10.159941665099538
Node 1764, 0.945753425882466
Node 1670, 0.6459195139912344
Node 2020, 1.9736352661694676
Node 1983, 1.7698455237369544
Node 3049, 30.645277436765575
Node 1767, 0.9496659858056402
Node 1695, 0.7433958958658468
Node 1586, 0.43577592783557695
Node 2847, 16.079174538678114
Node 2372, 4.521991864746668
Node 2367, 4.4696450378252575
Node 1979, 1.7597918083760664
Node 1852, 1.287997818769532
Node 1658, 0.6090889175829279
Node 1507, 0.2576922966154934
Node 2099, 2.391446353801026
Node 2093, 2.3493187642555977
Node 1911, 1.5026865045309972
Node 1967, 1.7070356911367528
Node 2701, 10.339226303957895
Node 2651, 9.087215333976694
Node 1736, 0.859423380454836
Node 3355, 155.5012469787129
Node 3197, 60.097578367264525
Node 2297, 3.815151298809476
Node 2790, 13.858059181041916
Node 2447, 5.358773303221842
Node 1863, 1.331258294072488
Node 2042, 2.085534513797857
Node 3327, 129.80488869171887
Node 2176, 2.8721375155913185
Node 3156, 48.61366804506233
Node 2803, 14.433629354144006
Node 1902, 1.4658181155647227
Node 1741, 0.8717907831041293
Node 2690, 10.050859660794217
Node 2467, 5.544084330225132
Node 2290, 3.750477654718078
Node 2673, 9.596795106384857
Node 2491, 5.901756539411342
Node 2363, 4.445195604122844
Node 2116, 2.4512957835291793
Node 2652, 9.10465678677206
Node 2446, 5.350314599169898
Node 1984, 1.7885831316134781
Node 2272, 3.5604685755771426
Node 1969, 1.7102071655714415
Node 1645, 0.5809573713322762
Node 1494, 0.23967222919319806
Node 2474, 5.664003680536063
Node 2167, 2.8080793856364523
Node 1779, 0.9938753459749343
Node 1419, 0.045919288694722164
Node 3112, 39.610871229434714
Node 2592, 7.553501390801186
Node 1489, 0.22827823937878994
Node 2564, 7.0532796233693675
Node 2438, 5.30683240720585
Node 2416, 5.030221202544736
Node 1731, 0.8426509916848193
Node 3083, 35.89677510451982
Node 1799, 1.0524431531533764
Node 1567, 0.40132778385693757
Node 4193, 4911.543553737214
Node 3928, 2259.445638594569
Node 3245, 80.6937227199814
Node 2696, 10.213318973294566
Node 2177, 2.877935226216204
Node 1540, 0.3388932965755905
Node 2046, 2.1241418124204716
Node 1919, 1.5364923703082056
Node 1428, 0.05520270141793958
Node 2011, 1.9394445497225141
Node 1944, 1.6052236750523836
Node 1577, 0.42205513228829694
Node 2980, 24.416380461672517
Node 2761, 12.62459412803473
Node 2062, 2.206360369603391
Node 2021, 1.9754507790097628
Node 1854, 1.3050375781445598
Node 2284, 3.652346072152452
Node 3466, 488.50576582488395
Node 3397, 205.06420836129558
Node 3290, 101.54347284371656
Node 3235, 76.21191302579238
Node 2733, 11.29050633140044
Node 1874, 1.3616142517145442
Node 2542, 6.65007234516759
Node 2026, 1.9904277349101045
Node 1850, 1.279339281533026
Node 2529, 6.539372053207192
Node 2463, 5.50037004163504
Node 2191, 2.9943658723324282
Node 1743, 0.874881334789342
Node 1639, 0.5689859229908756
Node 1939, 1.599927101221528
Node 3042, 29.960537694858854
Node 2246, 3.3797054976452086
Node 1468, 0.15628465909130834
Node 1407, 0.01452143136208948
Node 2172, 2.8489776977947527
Node 3264, 88.61721464277777
Node 3039, 29.37802807100612
Node 1504, 0.2537237756368662
Node 1401, 0.0064796819953208155
Node 2704, 10.395972282191469
Node 2089, 2.333317510915195
