Node, generations
Node 2776, 24866.609594517875
Node 1641, 7991.486411739745
Node 118, 105.49136686234155
Node 45, 8.765233018641133
Node 40, 0.18807804606255576
Node 157, 167.72124350115504
Node 138, 133.18982060129693
Node 71, 45.97305803703012
Node 1769, 9091.388464856615
Node 911, 3752.354038748342
Node 165, 182.05880116937146
Node 47, 12.647989615334545
Node 41, 0.8425135591829847
Node 68, 40.64968537830996
Node 42, 2.4470047556628205
Node 44, 5.551777348073388
Node 819, 3421.4489600968686
Node 104, 88.66671053629284
Node 62, 32.6574958407671
Node 52, 15.928742208031034
Node 88, 60.7820373232548
Node 59, 26.99909753068899
Node 176, 409.3030326468763
Node 94, 68.75078989415036
Node 113, 97.88431275288968
Node 72, 46.686521182839364
Node 1422, 6403.983943726887
Node 712, 2993.122509226782
Node 154, 160.63107749712213
Node 233, 1411.7771534011886
Node 144, 139.56164331382024
Node 53, 17.502627072730473
Node 124, 115.03533111981024
Node 58, 26.93390169329592
Node 50, 15.041456746361941
Node 1250, 5446.497737367424
Node 1084, 4461.290813276844
Node 161, 176.1445091845688
Node 54, 23.02643075006224
