Total time,Next time interval,Population size
0.0,4.344069999133674,501436
4.344069999133674,4.35688436491283,501436
8.700954364046503,4.369755515178451,501436
13.070709879224953,4.382683785933416,501436
17.45339366515837,4.395669515669516,501436
21.849063180827883,4.408713045389603,501436
26.257776226217487,4.421814718629989,501436
30.679590944847476,4.434974881483054,501436
35.114565826330534,4.448193882620112,501436
39.562759708950644,4.461472073314501,501436
44.02423178226515,4.474809807464918,501436
48.49904158973006,4.4882074416190045,501436
52.987249031349066,4.501665334997172,501436
57.488914366346236,4.515183849516683,501436
62.00409821586292,4.528763349815981,501436
66.5328615656789,4.542404203279283,501436
71.07526576895819,4.556106780061422,501436
75.63137254901962,4.569871453112968,501436
80.20124400213258,4.5836985982055936,501436
84.78494260033818,4.597588593957732,501436
89.38253119429592,4.611541821860486,501436
93.9940730161564,4.6255586663038315,501436
98.61963168246024,4.639639514603082,501436
103.25927119706331,4.653784757025653,501436
107.91305595408896,4.667994786818097,501436
112.58105074090706,4.682270000233443,501436
117.2633207411405,4.696610796558813,501436
121.95993153769932,4.71101757814335,501436
126.67094911584267,4.725490750426432,501436
131.3964398662691,4.740030721966206,501436
136.1364705882353,4.754637904468413,501436
140.89110849270372,4.7693127128155375,501436
145.66042120551927,4.784055565096266,501436
150.44447677061552,4.798866882635264,501436
155.24334365325078,4.81374709002328,501436
160.05709074327405,4.828696615147575,501436
164.88578735842162,4.843715889222685,501436
169.72950324764432,4.8588053468215096,501436
174.58830859446581,4.873965425906756,501436
179.46227402037258,4.889196567862714,501436
184.3514705882353,4.904499217527387,501436
189.25596980576267,4.919873823224965,501436
194.17584362898765,4.935320836798669,501436
199.11116446578632,4.950840713643948,501436
204.06200517943026,4.96643391274204,501436
209.0284390921723,0.09219305000124196,9279
209.12063214217355,0.09248433925874983,9279
209.2131164814323,0.09277701121842942,9279
209.30589349265074,0.0930710746454292,9279
209.39896456729616,0.09336653837446231,9279
209.49233110567062,0.09366341131047014,9279
209.5859945169811,0.09396170242929329,9279
209.67995621941037,0.09426142077835005,9279
209.7742176401887,0.09456257547732241,9279
209.86878021566602,0.09486517571884984,9279
209.96364539138486,0.09516923076923077,9279
210.0588146221541,0.095474749969132,9279
210.15428937212323,0.09578174273430605,9279
210.25007111485755,0.09609021855631669,9279
210.34616133341387,0.09640018700327256,9279
210.44256152041714,0.09671165772056907,9279
210.5392731781377,0.09702464043163887,9279
210.63629781856935,0.09733914493871064,9279
210.73363696350805,0.09765518112357659,9279
210.83129214463162,0.09797275894836871,9279
210.92926490358,0.09829188845634385,9279
211.02755679203634,0.09861257977267776,9279
211.12616937180903,0.0989348431052682,9279
211.2251042149143,0.09925868874554732,9279
211.32436290365985,0.09958412706930321,9279
211.42394703072915,0.0999111685375111,9279
211.52385819926667,0.10023982369717396,9279
211.62409802296384,0.1005701031821729,9279
211.724668126146,0.10090201771412727,9279
211.82557014386015,0.10123557810326488,9279
211.9268057219634,0.10157079524930217,9279
212.0283765172127,0.10190768014233469,9279
212.13028419735505,0.10224624386373779,9279
212.23253044121878,0.10258649758707801,9279
212.33511693880587,0.10292845257903495,9279
212.4380453913849,0.10327212020033388,9279
212.54131751158522,0.10361751190668952,9279
212.6449350234919,0.1039646392497605,9279
212.74889966274168,0.10431351387811541,9279
212.8532131766198,0.10466414753820992,9279
212.957877324158,0.10501655207537561,9279
213.06289387623337,0.10537073943482038,9279
213.1682646156682,0.10572672166264072,9279
213.27399133733084,0.10608451090684594,9279
213.38007584823768,0.10644411941839456,9279
213.48651996765608,0.1068055595522431,9279
213.59332552720832,0.1071688437684072,9279
213.70049437097674,0.1075339846330355,9279
213.80802835560976,0.10790099481949637,9279
213.91592935042925,0.10826988710947755,9279
214.02419923753874,0.10864067439409905,9279
214.13283991193285,0.10901336967503936,9279
214.2418532816079,0.10938798606567524,9279
214.35124126767357,0.10976453679223522,9279
214.4610058044658,0.11014303519496706,9279
214.57114883966076,0.11052349472931927,9279
214.68167233439007,0.110905928967137,9279
214.7925782633572,0.1112903515978723,9279
214.90386861495506,0.11167677642980936,9279
215.01554539138488,0.11206521739130434,9279
215.12761060877617,0.1124556885320406,9279
215.2400662973082,0.11284820402429903,9279
215.3529145013325,0.11324277816424413,9279
215.46615727949674,0.11363942537322573,9279
215.57979670486998,0.1140381601990967,9279
215.69383486506908,0.11443899731754695,9279
215.8082738623866,0.11484195153345379,9279
215.92311581392008,0.11524703778224905,9279
216.03836285170232,0.11565427113130293,9279
216.1540171228336,0.11606366678132525,9279
216.27008078961492,0.11647524006778384,9279
216.3865560296827,0.11688900646234081,9279
216.50344503614505,0.11730498157430642,9279
216.62075001771936,0.11772318115211144,9279
216.73847319887147,0.11814362108479756,9279
216.85661681995626,0.1185663174035267,9279
216.97518313735978,0.11899128628310923,9279
217.0941744236429,0.11941854404355129,9279
217.21359296768645,0.11984810715162161,9279
217.33344107483808,0.12027999222243826,9279
217.4537210670605,0.12071421602107522,9279
217.57443528308158,0.12115079546418943,9279
217.69558607854577,0.12158974762166837,9279
217.81717582616744,0.12203108971829875,9279
217.93920691588573,0.12247483913545619,9279
218.0616817550212,0.1229210134128167,9279
218.18460276843402,0.12336963025008975,9279
218.30797239868411,0.1238207075087738,9279
218.43179310619288,0.12427426321393414,9279
218.55606736940683,0.12473031555600363,9279
218.68079768496284,0.12518888289260657,9279
218.80598656785546,0.12564998375040623,9279
218.93163655160586,0.12611363682697602,9279
219.05775018843283,0.12657986099269494,9279
219.18433004942554,0.1270486752926679,9279
219.3113787247182,0.1275200989486704,9279
