Total time,Next time interval,Population size
0.0,246.30541871921181,50000
246.30541871921181,264.55026455026456,50000
510.85568326947634,284.9002849002849,50000
795.7559681697612,307.6923076923077,50000
1103.4482758620688,333.3333333333333,50000
1436.781609195402,362.3188405797101,50000
1799.1004497751123,7.905138339920948,1000
1807.0055881150333,8.658008658008658,1000
1815.663596773042,9.523809523809524,1000
1825.1874062968516,10.526315789473685,1000
1835.7137220863253,11.695906432748538,1000
1847.409628519074,13.071895424836601,1000
1860.4815239439106,14.705882352941176,1000
1875.1874062968518,16.666666666666668,1000
1891.8540729635185,19.047619047619047,1000
1910.9016920111376,21.978021978021978,1000
1932.8797139891597,25.641025641025642,1000
1958.5207396301853,30.303030303030305,1000
1988.8237699332155,36.36363636363637,1000
2025.1874062968518,44.44444444444444,1000
2069.631850741296,55.55555555555556,1000
2125.187406296852,71.42857142857143,1000
2196.6159777254234,95.23809523809524,1000
2291.854072963519,133.33333333333334,1000
2425.1874062968523,200.0,1000
2625.1874062968523,333.3333333333333,1000
2958.5207396301857,666.6666666666666,1000
3625.1874062968523,20000.0,10000
